134;Житловий будинок (мур.)  ;1900-і рр.;вул. Короля Данила, 7;332-іф
135;Сингагога (мур.);1926 р.;вул. Короля Данила,8;333-іф
136;Житловий будинок (мур.);1911 р.;вул. Короля Данила. 10;334-іф
137;Житловий будинок (мур.);п.20ст.;вул. Короля Данила, 20;335-іф
138;Житловий будинок (мур.);1910р.;вул. Короля Данила, 22;336-іф
139;Житловий будинок (мур.);19 ст.;вул. Дністровська, 2;2-іф
140;Житловий будинок (мур.);19ст.;вул. Дністровська, 4;3-іф
141;Житловий будинок (мур.);п.20ст.;вул. Дністровська, 20;4-іф
142;Житловий будинок (мур.);1925 р.;вул. Дністровська, 22;5-іф
143;Жіноча вчительська семінарія (мур.);1911 р.;вул. Дністровська, 28;6-іф
144;Житловий будинок (мур.);1937р.;вул. Драгоманова, 3;1054
145;Житловий будинок (мур.);1935р.;вул. Драгоманова, 5;1055
146;Житловий будинок (мур.);1936 р.;вул. Драгоманова, 7;1056
147;Житловий будинок (мур.);1938 р.;вул. Драгоманова, 8;1052
148;Житловий будинок (мур.);1939 р..;вул. Драгомачова, 10;1053
149;Житловий будинок (мур.);п.20ст.;вул. Заклинських, 1;140-іф
150;Житловий будинок (мур.);п.20ст.;вул. Залізнична, 29;82-іф
151;Житловий будинок (мур.);п.20ст.;вул. Зачізнична, 31;83-іф
152;Житловий будинок (мур.);1912 р.;вул. Залізнична, 47;84-іф
153;Житловий будинок (мур.);1928 р.;вул. О. Кисілевської, 1;187-іф
154;Житловий будинок (мур.);1928 р.;вул. О. Кисілевської, 3;188-іф
155;Церква Покрову Матері Божої (мур.);1904 р.;вул. Княгинин;519
156;Житловий будинок (мур.);1894 р.;вул. Шашкевича, 1;98-іф
157;Житловий будинок (мур.);п.20 ст.;вул. Шашкевича, 2;99-іф
158;Житловий будинок (мур.);1913 р.;вул. Шашкевича, 3;100-іф
159;Житловий будинок (мур.);1907 р.;вул. Шашкевича, 4;101-іф
160;Житловий будинок (мур.);1894 р.;вул. Шашкевича, 5;102-іф
161;Житловий будинок (мур.);к.19ст.;вул. Шашкевича, 7;1058
162;Житловий будинок (мур.);1895р.;вул. Шашкевича, 9;103-іф
163;Церква св. Параскеви (мур.);1908 р..;вул. Є.Коновальця;459
164;Житловий будинок (мур.);п.20 ст.;вул. Є.Коновальця, 2;49-іф
165;Житловий будинок (мур.);п.20 ст.;вул.  Є.Коновальця, 4;50-іф
166;Житловий будинок (мур.);19 ст.;вул. Є.Коновальця, 12;518
167;Житловий будинок (мур.);1916 р.;вул. Є.Коновальця, 16;51-іф
168;Військові складські приміщення (мур.);к.19 ст.;вул. Є.Коновальця, 100 (корп.2);1108
169;Військові складські приміщення (мур.);к. 19ст.;вул.Є.Коновальця, 10За;1107
170;Житловий будинок (мур.);п. 20 ст.;вул. Коперника, 2;1109
171;Житловий будинок (мур.);п.20 ст.;вул. Коперника, 7;106-іф
172;Житловий будинок (мур.);п. 20 ст.;вул. Коперника, 9;107-іф
173;Житловий будинок (мур.);п.20ст.;вул. Коперника, 11;108-іф
174;Житловий будинок (мур.);п.20ст.;вул. Коперника, 11а;109-іф
175;Житловий будинок (мур.);1936-1937рр.;вул. Коперника, 14;520
176;Житловий будинок (мур.);п.20ст.;вул. Коперника, 15;110-іф
177;Житловий будинок (мур.);п.20ст.;вул. Коперника, 17;111-іф
178;Житловий будинок (мур.);1935 р.;вул. Коперника, 18;521
179;Житловий будинок (мур.);п.20ст.;вул. Коперника, 19;112-іф
180;Житловий будинок (мур.);п.20ст.;вул. Коперника, 21;113-іф
181;Житловий будинок (мур.);п.20ст.;вул. Коперника, 23;114-іф
182;Житловий будинок (мур.);п.20ст.;вул. Коперника, 24;115-іф
183;Житловий будинок (мур);п.20 ст.;вул. Коперника, 27;116-іф
184;Житловий будинок (мур.);к. 19-п.20 ст.;вул. Коперника, 30;117-іф
185;Житловий будинок (мур.);1907 р.;вул. Крива, 4;139-іф
186;Житловий будинок (мур.);1890-і рр.;вул. Крушельницької, 2;138-іф
187;Житловий будинок (мур.);1895р.;вул. Леся Курбаса, 2;339-іф
188;Театр ім. С. Монюшка (мур.);1891 р.        рек.  1929 р.;вул .Леся Курбаса, 3;340-іф
189;Житловий будинок (мур.);1899 р.;вул. Леся Курбаса, 4;341-іф
190;Житловий будинок (мур.);1906 р.;вул. Леся Курбаса, 5;342-іф
191;Житловий будинок (мур.);1900 р.;вул. Леся Курбаса, 6;343-іф
192;Житловий будинок (мур.);1906 р.;вул. Леся Курбаса, 7;344-іф
193;Житловий будинок (мур.);1906 р.;вул. Леся Курбаса, 8;345-іф
194;Житловий будинок (мур.);1906 р.;вул. Леся Курбаса, 9;346-іф
195;Житловий будинок (мур.);п.20 ст.;вул. Ленкавського, 15;532
196;Житловий будинок (мур.);к.19 ст.;вул. Ленкавського, 20;533
197;Приватна німецька гімназія (мур.);1905р.;вул. Б.Лепкого, 9;141-іф
198;Житловий будинок (мур.);1890-і рр.;вул. Б.Лепкого, 25;522
199;Житловий будинок (мур.);1890-і рр.;вул. Б.Лепкого, 27;523
200;Школа деревообробної промисловості (мур.);1904 р.;вул. Б.Лепкого, 28;142-іф
201;Житловий будинок (мур.);1909 р.;вул. Б.Лепкого, 33;143-іф
202;Житловий будинок (мур.);п.20 ст.;вул. Б.Лепкого, 34;144-іф
203;Житловий будинок (мур.);п.20 ст.;вул. Б. Лепкого, 35;145-іф
204;Житловий будинок (мур.);п.20 ст.;вул. Б. Лепкого, 36;146-іф
205;Житловий будинок (мур.);1908 р.;вул. Б. Лепкого, 37;147-іф
206;Житловий будинок (мур.);п. 20 ст,;вул. Б. Лепкого, 38;148-іф
207;Житловий будинок (мур.);1908 р.;вул. Б. Лепкого, 39;149-іф
208;Житловий будинок (мур.);1900 р.;вул. Б. Лепкого, 41;150-іф
209;Житловий будинок (мур.);п.20 ст.;вул. Б. Лепкого, 44;151-іф
210;Житловий будинок (мур.);п.20 ст.;вул. Б. Лепкого, 45;152-іф
211;Житловий будинок (мур.);п.20 ст.;вул. Б. Лепкого, 46;153-іф
212;Житловий будинок (мур.);п.20 ст.;вул. Б. Лепкого, 48;154-іф
213;Житловий будинок (мур.);п.20 ст.;вул. Лермонтова, 7;159-іф
214;Житловий будинок (мур.);п.20 ст.;вул. Лермонтова, 8;160-іф
215;Житловий будинок (мур.);п.20 ст.;вул. Лермонтова, 13;161-іф
216;Житловий будинок (мур.);п.20 ст.;вул. Львівська, 8;1154
217;Житловий будинок (мур.);1830 р.;вул. Гетьмана Мазепи, 1;55-іф
218;Житловий будинок (мур.);1936 р.;вул. Гетьмана Мазепи, 2;1063
219;Житловий будинок (мур.);1893 р.;вул. Гетьмана Мазепи, 3;1065
220; Житловий будинок (мур.);1887 р.;вул. Гетьмана Мазепи, 4;56-іф
221; Житловий будинок (мур.);п.20ст.;вул. Гетьмана Мазепи, 4а;1064
222;Житловий будинок (мур.);1903 р.;вул. Гетьмана Мазепи, 5;57-іф
223;Житловий будинок(мур.);1885 р.;вул. Гетьмана Мазепи, 6;58-іф
224;Житловий будинок (мур.);1900-і рр.;вул. Гетьмана Мазепи. 7;59-іф
225;Житловий будинок (мур.);1885 р.;вул. Гетьмана Мазепи, 8;60-іф
226;Житловий будинок (мур.); 1900-і рр.;вул. Гетьмана Мазепи, 9;61-іф
227;Польська жіноча гімназія (мур.);1896 р.        рекон. 1913 р.;вул. Гетьмана Мазепи, 10;62-іф
228;Житловий будинок (мур.);к. 19 ст.;вул.Гетьмана Мазепи, 11;63-іф
229;Житловий будинок (мур.);1896 р. ;вул. Гетьмана Мазепи, 12 ;64-іф
230;Ощадна каса (мур.);1884 р.     рекон. 1892 р.;вул. Гетьмана Мазепи. 14;65-іф
231;Житловий будинок (мур.);1892 р.;вул. Гетьмана Мазепи, 20;66-іф
232;Житловий будинок (мур.);1914 р.;вул. Гетьмана Мазепи, 23;67-іф
233;Житловий будинок (мур.);1910 р.                           ;вул. Гетьмана Мазепи, 24;68-іф
234;Житловий будинок (мур.);1890-і рр.;вул. Гетьмана Мазепи, 25;69-іф
235;Житловий будинок (мур.);1901 р.;вул. Гетьмаиа Мазепи, 28;70-іф
236;Житловий будинок (мур.);1910 р.;вул. Гетьмана Мазепи, 30;71-іф
237;Житловий будинок (мур.);1913 р.;вул. Гетьмана Мазепи, 34;72-іф
238;Житловий будинок (мур.);1910 р.;вул. Гетьмана Мазепи, 36;73-іф
239;Житловий будинок (мур.);1908р.;вул. Гетьмана Мазепи, 48;74-іф
240;Житловий будинок (мур.);п.20 ст.;вул. Гетьмана Мазепи. 56;75-іф
241;Житловий будинок (мур.);п.20 ст.;вул. Гетьмана Мазепи, 83;76-іф
242;Церква (дер.);к.19ст.;вул. Гетьмана Мазепи (с.Крихівці);51
243;Будинок лікарні (старий корпус) (мур.);1841 р.;вул. Гетьмана Мазепи, 114;531
244;Житловий будинок;1912 р.;вул. Гетьмана Мазепи, 129;1112
245;"Кінотеатр ""Трембіта"" (мур.)";1950 р.;вул. Гетьмана Мазепи. 135;48
246;"Ресторан-бар ""Садко"" (зміш.)";1957 р.;вул. Гетьмана Мазепи, 140;50
247;Житловий будинок (мур.);1906 р.;вул. Сотника Т. Мартинця, 4;85-іф
248;Житловий будинок (мур.);1894 р.;вул. Сотника Т. Мартинця, 6;86-іф
249;Житловий будинок (мур.);п.20 ст.;вул. Макогона, 6;438-іф
250;Житловий будинок (мур.);п.20 ст.;вул. Матейка, 3;1113
251;Житловий будинок (мур.);п 20 ст.;вул. Матейка, 6;1114
252;Житловий будинок (мур.);к.19ст.;вул. Матейка, 12;1115
253;Житловий будинок (мур.);к. 19 ст.;вул. Матейка, 14;1116
254;Житловий будинок (мур.);к. 19 ст.;вул. Матейка, 20;1117
255;Житловий будинок (мур.);п. 20 ст.;вул. Матейка, 22;189-іф
256;Житловий будинок (мур.);п.20 ст.;вул. Матейка, 24;190-іф
257;Житловий будинок (мур.);1913 р.;вул. Матейка, 26;191-іф 
258;Житловий будинок (мур.);п. 20 ст.;вул. Матейка, 28;1118
259;Семирічна школа (старий корпус) (мур.);1928 р.;вул. Матейка, 34;526
260;Житловий будинок (мур.);1911-1917 рр.;вул. Матейка, 39;1119
261;Житловий будинок (мур.);п.20 ст.;вул. Матейка,  40;1120
262;Житловий будинок (мур.);20 ст.;вул. Матейка, 43;527
263;Житловий будинок (мур.);20 ст.;вул. Матейка, 44;528
264;Житловий будинок (мур.);п.20 ст.;вул. Матейка, 47;1122
265;Житловий будинок (мур.);п.20 ст.;вул. Матейка, 51;1123
266;Житловий будинок (мур.);1920-і рр.;вул. Матейка, 53;1124
267;Житловий будинок (мур.);п.20 ст.;вул. Матейка, 56;1125
268;Житловий будинок (мур.);20 ст.;вул. Матейка, 57;529
269;Житловий будинок (мур.);20 ст.;вул. Матейка, 59;530
270;Житловий будинок (мур.);1816 р.;вул. Мельничука. 1;206-іф
271;Житловий будинок (мур.);19 ст.       рекон. 1936 р.;вул. Мельничука, 3;209-іф
272;Житловий будинок (мур.);п.20 ст.;вул. Мельничука, 12;1068
273;Будинок повітового староства (мур.);1842 р.;вул. Мельничука, 14;210-іф
274;Єврейська гімназія (мур.);к.19-п.20 ст.;вул. Мельничука.,16;211-іф
275;"Будинок польського культурно- спортивного товариства ""Сокіл"" (мур.)";1895 р.;пл.  Міцкевича, 2;212-іф
276;Будинок повітової ради (мур.);1896 р.;пл. Міцкевича, 4;213-іф
277;Вілла А. Рачинського (мур.);1905 р.;пл. Міцкевича, 5;214-іф
278;Житловий будинок (мур.);1929р.;пл. Міцкевича, 6;1066
279;Житловий будинок (мур.);19ст.;пл. Міцкевича, 10;216-іф
280;Житловий будинок (мур.);к. 19 ст.;пл. Міцкевича, 12;1067
281;Житловий будинок (мур.);1887р.;пл. Міцкевича, 12а;217-іф
282;Костел Йосифа (мур.);1924р.;вул. М. Мочульського, 1;256-іф
283;Житловий будинок (мур.);к.19ст.;вул. Національної гвардії, 4;1126
284;Житловий будинок (мур.) ;к. 19 ст.;вул. Національної гвардії, 6;1127
285;Житловий будинок (мур.);к.19 ст.;вул. Національної гвардії, 16;1128
286;Пасаж (мур.);1904 р.;вул. Незалежності, 3;539
287;"Готель ""Уніон"" (мур.)";1912 р.;вул. Незалежності, 4;288-іф
288;Житловий будинок (мур.);1870-і р.;вул. Незалежності, 5;260-іф
289;Житловий будинок (мур.);1906 р.;вул. Незалежності, 7;261-іф
290;Житловий будинок (мур.);1894 р.;вул. Незалежності, 8;289-іф
291;Житловий будинок та контора фірми Гаусвальда (мур.);1913р.;вул. Незалежності, 11;291-іф
292;Міщанське казино (мур.);1896р.;вул. Незалежності, 12;292-іф
293;Міщанський банк (мур.);1900 р.;вул. Незалежності, 15;294-іф
294;Житловий будинок (мур.);1907 р.;вул. Незалежності. 16;295-іф
295;Вища реальна школа (мур.);1873 р.;вул. Незалежності. 17;296-іф
296;Житловий будинок (мур.);1908р.;вул. Незалежності, 18;55
297;Іпотечний банк (мур.);1898р.;вул. Незалежності. 19;297-іф
298;Житловий будинок (мур.);1905 р.;вул. Незалежності, 21;298-іф
299;Житловий будинок (мур.);1893 р.;вул. Незалежності, 25;1075
300;Житловий будинок (мур.);1894 р.;вул. Незалежності, 29;299-іф
301;Житловий будинок (мур.);1910 р.;вул. Незалежності, 30;300-іф
302;Житловий будинок (мур.);1880-і рр.;вул. Незалежності, 33;540
303;Житловий будинок (мур.);1880-і рр.;вул. Незалежності, 35;541
304;Житловий будинок (мур.);1881 р.;вул. Незалежності, 37;542
305;Житловий будинок (мур.);1904 р.;вул. Незалежності, 41;465
306;Житловий будинок (мур.);1 935р.;вул. Незалежності, 43;543
307;Житловий будинок (мур.);1840-і р.;вул. Незалежності, 47;1078
308;Житловий будинок (мур.);1840-і р.;вул. Незалежності, 49;1079
309;Житловий будинок (мур.);1955 р.;вул. Незалежності, 81;301-іф
310;Житловий будинок (мур.);1908 р.;вул. Незалежності, 89;302-іф
311;Житловий будинок (мур.);1933 р.;вул. Незалежності, 121;303-іф
312;Церква св. Дмитрія (дер.);1902р.;вул. Нечуя Левицького, 6;228-іф
313;Житловий будинок (мур.);п.19ст.;вул. Романа Левицького, 2;525-іф
314;Житловий будинок (мур.);1840-і р.;вул. Низова, 2;87-іф
315;Житловий будинок (мур.);1904 р.;вул. Низова, 3;88-іф
316;Житловий будинок (мур.);1893 р.;вул. Низова, 4;89-іф
317;Житловий будинок (мур.);19 ст..;вул. Низова, 6;435-іф
318;Житловий будинок (мур.); 1907 р.;вул. Низова, 9;90-іф
319;Житловий будинок (мур.);1907 р.;вул. Низова, 11;91-іф
320;Церква Христа Царя (мур.);1935 р.;вул. О. Новаківського;257-іф
321;Житловий будинок (мур.);п. 20 ст.;вул. Новгородська, 4а;1069
322;Житловий будинок (мур.);п. 20 ст.;вул. Новгородська, 6;229-іф
323;Житловий будинок (мур.);1913 р.;вул. Новгородська, 9;230-іф
324;Житловий будинок (мур.);п. 20 ст.;вул. Новгородська, 10;231-іф
325;Житловий будинок (мур.);1902 р.;вул. Новгородська. 12;232-іф
326;Житловий будинок (мур.);1893 р.;вул. Новгородська, 15;233-іф
327;Житловий будинок (мур.);п. 20 ст.;вул. Новгородська, 25;234-іф
328;Житловий будинок (мур.);п.п. 19 ст.;вул. Новгородська, 30;235-іф
329;Житловий будинок (мур.);п. 20 ст.                           ;вул. Новгородська, 31;236-іф
330;Житловий будинок (мур.)                                                       ;1891 р.;вул. Новгородська, 32;237-іф
331;Житловий будинок (мур.);к.19-п.20 ст.;вул. Новгородська. 33;238-іф
332;Житловий будинок (мур.);1911 р.;вул. Новгородська, 34;239-іф
333;Житловий будинок (мур.);1844 р.;вул. Новгородська, 55;240-іф
334;Житловий будинок (мур.);1907 р.;вул. Є. Озаркевича, 4;218-іф
335;Житловий будинок (мур.);к.19-п.20ст.;вул. Є. Озаркевича, 7;1129
336;Житловий будинок (мур.);к.19-п.20ст.;вул. Є. Озаркевича, 9;1130
337;Житловий будинок (мур.);п. 20 ст.;вул. Є. Озаркевича, 12;219-іф
338;Житловий будинок (мур.);к.19-п.20ст.;вул. Є. Озаркевича, 13;1132
339;Житловий будинок (мур.);п. 20 ст.;вул. Є. Озаркевича, 16;220-іф
340;Житловий будинок (мур.);п. 20 ст.;вул. Є. Озаркевича, 17;1133
341;Житловий будинок (мур.);п. 20 ст.;вул. Є. Озаркевича. 18;221-іф
342;Житловий будинок (мур.);п. 20 ст.;вул. Є. Озаркевича. 19;1134
343;Житловий будинок (мур.);п. 20 ст.;вул. Є. Озаркевича, 20;222-іф
344;Житловий будинок (мур.);п.20 ст.;вул. Є. Озаркевича. 22;223-іф
345;Житловий будинок (мур.);1932р.;вул. Є. Озаркевича. 23;534
346;Житловий будинок (мур.);1938 р.;вул. Орлика, 1;1070
347;Житловий будинок (мур.);1908 р.;вул. М.Павлика. 23;43-іф
